title,section,clean_title,tokens
ELJAZZAR: Improve transfer student orientation programs,Opinion,eljazzar improve transfer student orientation programs,"['eljazzar', 'improve', 'transfer', 'student', 'orientation', 'program']"
NERO: Littlejohn’s vacancy allows for student entrepreneurship opportunities,Opinion,nero littlejohns vacancy allows for student entrepreneurship opportunities,"['nero', 'littlejohns', 'vacancy', 'allows', 'student', 'entrepreneurship', 'opportunity']"
CARTER: Did anyone actually want VERVE?,Opinion,carter did anyone actually want verve,"['carter', 'anyone', 'actually', 'want', 'verve']"
EDITORIAL: Long live President Ryan!,Opinion,editorial long live president ryan,"['editorial', 'long', 'live', 'president', 'ryan']"
UPADHYAYA: Virginia needs comprehensive climate education — now,Opinion,upadhyaya virginia needs comprehensive climate education  now,"['upadhyaya', 'virginia', 'need', 'comprehensive', 'climate', 'education']"
ELJAZZAR: Expand institutional knowledge for student empowerment,Opinion,eljazzar expand institutional knowledge for student empowerment,"['eljazzar', 'expand', 'institutional', 'knowledge', 'student', 'empowerment']"
KING: Virginia’s felons deserve the opportunity to work without discrimination,Opinion,king virginias felons deserve the opportunity to work without discrimination,"['king', 'virginia', 'felon', 'deserve', 'opportunity', 'work', 'without', 'discrimination']"
Letters to the Editor: The resignation of University President Jim Ryan,Opinion,letters to the editor the resignation of university president jim ryan,"['letter', 'editor', 'resignation', 'university', 'president', 'jim', 'ryan']"
COHEN: The presidential appointment process was blatantly non-Jeffersonian,Opinion,cohen the presidential appointment process was blatantly nonjeffersonian,"['cohen', 'presidential', 'appointment', 'process', 'blatantly', 'nonjeffersonian']"
A statement from 181 concerned faculty on the Faculty Senate’s Nov. 14 resolution,Opinion,a statement from  concerned faculty on the faculty senates nov  resolution,"['statement', 'concerned', 'faculty', 'faculty', 'senate', 'nov', 'resolution']"
FREED: Do not be fooled — the Trump administration is not fighting antisemitism,Opinion,freed do not be fooled  the trump administration is not fighting antisemitism,"['freed', 'fooled', 'trump', 'administration', 'fighting', 'antisemitism']"
CASTAGNO: Bring back standardized tests,Opinion,castagno bring back standardized tests,"['castagno', 'bring', 'back', 'standardized', 'test']"
BARRETT: President Ryan’s forced resignation jeopardizes the future of U.Va.,Opinion,barrett president ryans forced resignation jeopardizes the future of uva,"['barrett', 'president', 'ryans', 'forced', 'resignation', 'jeopardizes', 'future', 'uva']"
"EDITORIAL: Back to Grounds, and back to repairing institutional credibility",Opinion,editorial back to grounds and back to repairing institutional credibility,"['editorial', 'back', 'ground', 'back', 'repairing', 'institutional', 'credibility']"
EDITORIAL: 2030 should not take precedence over 2024,Opinion,editorial  should not take precedence over ,"['editorial', 'take', 'precedence']"
EDITORIAL: Good journalism is more than just news,Opinion,editorial good journalism is more than just news,"['editorial', 'good', 'journalism', 'news']"
KURTZWEIL: U.Va. is constructing an infrastructure conundrum,Opinion,kurtzweil uva is constructing an infrastructure conundrum,"['kurtzweil', 'uva', 'constructing', 'infrastructure', 'conundrum']"
EDITORIAL: Student self-governance should be for us all,Opinion,editorial student selfgovernance should be for us all,"['editorial', 'student', 'selfgovernance', 'u']"
"UPADHYAYA: The new University policies will hurt, not help, students",Opinion,upadhyaya the new university policies will hurt not help students,"['upadhyaya', 'new', 'university', 'policy', 'hurt', 'help', 'student']"
"EDITORIAL: Take the hint, Mr. Youngkin",Opinion,editorial take the hint mr youngkin,"['editorial', 'take', 'hint', 'mr', 'youngkin']"
U.Va. Medical Students: Defend academic freedom,Opinion,uva medical students defend academic freedom,"['uva', 'medical', 'student', 'defend', 'academic', 'freedom']"
KURTZWEIL: True financial aid must be transparent,Opinion,kurtzweil true financial aid must be transparent,"['kurtzweil', 'true', 'financial', 'aid', 'must', 'transparent']"
EDITORIAL: U.Va. needs to promote better artificial intelligence policies,Opinion,editorial uva needs to promote better artificial intelligence policies,"['editorial', 'uva', 'need', 'promote', 'better', 'artificial', 'intelligence', 'policy']"
EDITORIAL: Think wisely about our regional campus,Opinion,editorial think wisely about our regional campus,"['editorial', 'think', 'wisely', 'regional', 'campus']"
PARTING SHOT: A love letter to Cav Daily and Connection,Opinion,parting shot a love letter to cav daily and connection,"['parting', 'shot', 'love', 'letter', 'cav', 'daily', 'connection']"
"LETTER: October 7 — one year on, we must look beyond the facade of conciliation",Opinion,letter october   one year on we must look beyond the facade of conciliation,"['letter', 'october', 'one', 'year', 'must', 'look', 'beyond', 'facade', 'conciliation']"
EDITORIAL: Carla Williams deserves her seat at the table,Opinion,editorial carla williams deserves her seat at the table,"['editorial', 'carla', 'williams', 'deserves', 'seat', 'table']"
EDITORIAL: A university president guarded from his constituents cannot lead them,Opinion,editorial a university president guarded from his constituents cannot lead them,"['editorial', 'university', 'president', 'guarded', 'constituent', 'cannot', 'lead']"
HUYNH: Governor Youngkin should have signed the General Assembly’s new marijuana bill,Opinion,huynh governor youngkin should have signed the general assemblys new marijuana bill,"['huynh', 'governor', 'youngkin', 'signed', 'general', 'assembly', 'new', 'marijuana', 'bill']"
GERBER: A letter of suggestions for U.Va.’s interim president,Opinion,gerber a letter of suggestions for uvas interim president,"['gerber', 'letter', 'suggestion', 'uvas', 'interim', 'president']"
CASTAGNO: HRL’s revised DEI policy achieves nothing but harm to students,Opinion,castagno hrls revised dei policy achieves nothing but harm to students,"['castagno', 'hrls', 'revised', 'dei', 'policy', 'achieves', 'nothing', 'harm', 'student']"
RASHID: The time to expand the students’ role at the administrative level is now,Opinion,rashid the time to expand the students role at the administrative level is now,"['rashid', 'time', 'expand', 'student', 'role', 'administrative', 'level']"
CLIPPINGER: Viewpoint diversity is not about free speech,Opinion,clippinger viewpoint diversity is not about free speech,"['clippinger', 'viewpoint', 'diversity', 'free', 'speech']"
EDITORIAL: Work-related Summertime Sadness must be reduced and reframed,Opinion,editorial workrelated summertime sadness must be reduced and reframed,"['editorial', 'workrelated', 'summertime', 'sadness', 'must', 'reduced', 'reframed']"
STUMP: Housing and Residence Life is deaf to students’ need for paper towels,Opinion,stump housing and residence life is deaf to students need for paper towels,"['stump', 'housing', 'residence', 'life', 'deaf', 'student', 'need', 'paper', 'towel']"
"GOLDBLATT, LEVY, WILLIAMS: What does it mean for U.Va. to follow the advice of legal counsel?",Opinion,goldblatt levy williams what does it mean for uva to follow the advice of legal counsel,"['goldblatt', 'levy', 'williams', 'mean', 'uva', 'follow', 'advice', 'legal', 'counsel']"
UNIVERSITY GUIDES LEADERSHIP: We stand behind our commitment to sharing history,Opinion,university guides leadership we stand behind our commitment to sharing history,"['university', 'guide', 'leadership', 'stand', 'behind', 'commitment', 'sharing', 'history']"
PARTING SHOT: Sometimes it’s okay to fake a smile,Opinion,parting shot sometimes its okay to fake a smile,"['parting', 'shot', 'sometimes', 'okay', 'fake', 'smile']"
EDITORIAL: Put our holistic admissions process to the test,Opinion,editorial put our holistic admissions process to the test,"['editorial', 'put', 'holistic', 'admission', 'process', 'test']"
ARRAS: The cavalier tendency to say “I do”,Opinion,arras the cavalier tendency to say i do,"['arras', 'cavalier', 'tendency', 'say']"
KING: The Jefferson Council’s letter ignores the glaring illegitimacy of the Board,Opinion,king the jefferson councils letter ignores the glaring illegitimacy of the board,"['king', 'jefferson', 'council', 'letter', 'ignores', 'glaring', 'illegitimacy', 'board']"
CALHOUN AND KITZMANN: U.Va. needs student self-governance on technology issues,Opinion,calhoun and kitzmann uva needs student selfgovernance on technology issues,"['calhoun', 'kitzmann', 'uva', 'need', 'student', 'selfgovernance', 'technology', 'issue']"
KURTZWEIL: Virginian taxes should not be politicized,Opinion,kurtzweil virginian taxes should not be politicized,"['kurtzweil', 'virginian', 'tax', 'politicized']"
DUTTENHOFER: Is growth-based learning actually helping us grow?,Opinion,duttenhofer is growthbased learning actually helping us grow,"['duttenhofer', 'growthbased', 'learning', 'actually', 'helping', 'u', 'grow']"
COHEN: Charlottesville must embrace a comprehensive solution to homelessness,Opinion,cohen charlottesville must embrace a comprehensive solution to homelessness,"['cohen', 'charlottesville', 'must', 'embrace', 'comprehensive', 'solution', 'homelessness']"
NERO: The University must modernize the Lawn room application process,Opinion,nero the university must modernize the lawn room application process,"['nero', 'university', 'must', 'modernize', 'lawn', 'room', 'application', 'process']"
PARTING SHOT: You are your own limit,Opinion,parting shot you are your own limit,"['parting', 'shot', 'limit']"
"BRUNMAN: Board of Visitors, where is your humanity?",Opinion,brunman board of visitors where is your humanity,"['brunman', 'board', 'visitor', 'humanity']"
QUILLEN: Online asynchronous courses are pointless for full-time students,Opinion,quillen online asynchronous courses are pointless for fulltime students,"['quillen', 'online', 'asynchronous', 'course', 'pointless', 'fulltime', 'student']"
EDITORIAL: Commercialization threatens U.Va.’s educational mission,Opinion,editorial commercialization threatens uvas educational mission,"['editorial', 'commercialization', 'threatens', 'uvas', 'educational', 'mission']"
CASTAGNO: Intensifying security theater in schools does not make them safer,Opinion,castagno intensifying security theater in schools does not make them safer,"['castagno', 'intensifying', 'security', 'theater', 'school', 'make', 'safer']"
EDITORIAL: Commend the University Police Department’s improved incident responses,Opinion,editorial commend the university police departments improved incident responses,"['editorial', 'commend', 'university', 'police', 'department', 'improved', 'incident', 'response']"
EDITORIAL: We can demand more of our university presidents,Opinion,editorial we can demand more of our university presidents,"['editorial', 'demand', 'university', 'president']"
EDITORIAL: Elect Student Council representatives that advocate for students,Opinion,editorial elect student council representatives that advocate for students,"['editorial', 'elect', 'student', 'council', 'representative', 'advocate', 'student']"
PARTING SHOT: Revisiting old comments,Opinion,parting shot revisiting old comments,"['parting', 'shot', 'revisiting', 'old', 'comment']"
PARTING SHOT: No man is an island,Opinion,parting shot no man is an island,"['parting', 'shot', 'man', 'island']"
PARTING SHOT: Staying the course,Opinion,parting shot staying the course,"['parting', 'shot', 'staying', 'course']"
VAN DE SOMPEL: “Rules are Rules”,Opinion,van de sompel rules are rules,"['van', 'de', 'sompel', 'rule', 'rule']"
KURTZWEIL: Big Brother is infiltrating immigration enforcement,Opinion,kurtzweil big brother is infiltrating immigration enforcement,"['kurtzweil', 'big', 'brother', 'infiltrating', 'immigration', 'enforcement']"
CASTAGNO: One year later — a local zoning ordinance proves its worth,Opinion,castagno one year later  a local zoning ordinance proves its worth,"['castagno', 'one', 'year', 'later', 'local', 'zoning', 'ordinance', 'prof', 'worth']"
BRUNMAN: Politicization should not determine the Board of Visitors,Opinion,brunman politicization should not determine the board of visitors,"['brunman', 'politicization', 'determine', 'board', 'visitor']"
EDITORIAL: U.Va. Health lets fear trump its mission to do no harm,Opinion,editorial uva health lets fear trump its mission to do no harm,"['editorial', 'uva', 'health', 'let', 'fear', 'trump', 'mission', 'harm']"
WILLIAMS: The future of Virginia is on the ballot this fall,Opinion,williams the future of virginia is on the ballot this fall,"['williams', 'future', 'virginia', 'ballot', 'fall']"
U.Va. APARTHEID DIVEST: Divest from Death,Opinion,uva apartheid divest divest from death,"['uva', 'apartheid', 'divest', 'divest', 'death']"
EDITORIAL: Scapegoating students will not stop hazing,Opinion,editorial scapegoating students will not stop hazing,"['editorial', 'scapegoating', 'student', 'stop', 'hazing']"
TU​​RNER: The ‘95-5’ statistic on viewpoints diversity leaves out the majority,Opinion,turner the  statistic on viewpoints diversity leaves out the majority,"['turner', 'statistic', 'viewpoint', 'diversity', 'leaf', 'majority']"
GARVIE: The University has 99 problems — let sustainability be one,Opinion,garvie the university has  problems  let sustainability be one,"['garvie', 'university', 'problem', 'let', 'sustainability', 'one']"
EDITORIAL: Pedestrian safety is an institutional imperative,Opinion,editorial pedestrian safety is an institutional imperative,"['editorial', 'pedestrian', 'safety', 'institutional', 'imperative']"
EDITORIAL: Support low-barrier shelters in Charlottesville,Opinion,editorial support lowbarrier shelters in charlottesville,"['editorial', 'support', 'lowbarrier', 'shelter', 'charlottesville']"
LETTER: It is critical to hold individual hazers accountable,Opinion,letter it is critical to hold individual hazers accountable,"['letter', 'critical', 'hold', 'individual', 'hazers', 'accountable']"
TAYLOR: Charlottesville’s asylum seekers are trapped by a DHS legal loophole,Opinion,taylor charlottesvilles asylum seekers are trapped by a dhs legal loophole,"['taylor', 'charlottesvilles', 'asylum', 'seeker', 'trapped', 'dhs', 'legal', 'loophole']"
CASTAGNO: Mandate media literacy courses to combat misinformation,Opinion,castagno mandate media literacy courses to combat misinformation,"['castagno', 'mandate', 'medium', 'literacy', 'course', 'combat', 'misinformation']"
SHRAUGER: We must fight against transportation deregulation,Opinion,shrauger we must fight against transportation deregulation,"['shrauger', 'must', 'fight', 'transportation', 'deregulation']"
P.U.M.P.K.I.N. SOCIETY: Happy Halloween 2024,Opinion,pumpkin society happy halloween ,"['pumpkin', 'society', 'happy', 'halloween']"
EDITORIAL: Reckon consistently with our history,Opinion,editorial reckon consistently with our history,"['editorial', 'reckon', 'consistently', 'history']"
WILLIAMS: Donald Trump will be a threat to student loan forgiveness,Opinion,williams donald trump will be a threat to student loan forgiveness,"['williams', 'donald', 'trump', 'threat', 'student', 'loan', 'forgiveness']"
SULLIVAN: U.Va. given a free pass on free speech,Opinion,sullivan uva given a free pass on free speech,"['sullivan', 'uva', 'given', 'free', 'pas', 'free', 'speech']"
DUTTENHOFER: Cutting research cuts out students,Opinion,duttenhofer cutting research cuts out students,"['duttenhofer', 'cutting', 'research', 'cut', 'student']"
EDITORIAL: DEI belongs at U.Va.,Opinion,editorial dei belongs at uva,"['editorial', 'dei', 'belongs', 'uva']"
GARVIE: The Women’s History Month events are more performative than practical,Opinion,garvie the womens history month events are more performative than practical,"['garvie', 'woman', 'history', 'month', 'event', 'performative', 'practical']"
PARTING SHOT: Work that never felt like work,Opinion,parting shot work that never felt like work,"['parting', 'shot', 'work', 'never', 'felt', 'like', 'work']"
"FREED: Before embracing AI, Virginia schools need an update",Opinion,freed before embracing ai virginia schools need an update,"['freed', 'embracing', 'ai', 'virginia', 'school', 'need', 'update']"
EDITORIAL: Federal overreach is destabilizing Virginia’s leading legal bodies,Opinion,editorial federal overreach is destabilizing virginias leading legal bodies,"['editorial', 'federal', 'overreach', 'destabilizing', 'virginia', 'leading', 'legal', 'body']"
LETTER: The Jefferson Council understates faculty criticism of the presidential search,Opinion,letter the jefferson council understates faculty criticism of the presidential search,"['letter', 'jefferson', 'council', 'understates', 'faculty', 'criticism', 'presidential', 'search']"
SHRAUGER: Protect City Council funding for Central Virginia Violence Interrupters,Opinion,shrauger protect city council funding for central virginia violence interrupters,"['shrauger', 'protect', 'city', 'council', 'funding', 'central', 'virginia', 'violence', 'interrupter']"
EDITORIAL: Trust in U.Va.’s governance begins with candor,Opinion,editorial trust in uvas governance begins with candor,"['editorial', 'trust', 'uvas', 'governance', 'begin', 'candor']"
PARTING SHOT: You only get what you give,Opinion,parting shot you only get what you give,"['parting', 'shot', 'get', 'give']"
HUYNH: The Supreme Court must support civil rights litigation in Virginia and beyond,Opinion,huynh the supreme court must support civil rights litigation in virginia and beyond,"['huynh', 'supreme', 'court', 'must', 'support', 'civil', 'right', 'litigation', 'virginia', 'beyond']"
EDITORIAL: Honor lives on — with room for improvement,Opinion,editorial honor lives on  with room for improvement,"['editorial', 'honor', 'life', 'room', 'improvement']"
EDITORIAL: DOJ Agreement signed and institutional instability guaranteed,Opinion,editorial doj agreement signed and institutional instability guaranteed,"['editorial', 'doj', 'agreement', 'signed', 'institutional', 'instability', 'guaranteed']"
YOUNIS: The danger of dehumanizing language,Opinion,younis the danger of dehumanizing language,"['younis', 'danger', 'dehumanizing', 'language']"
EDITORIAL: Choose UJC representatives who believe in internal reform,Opinion,editorial choose ujc representatives who believe in internal reform,"['editorial', 'choose', 'ujc', 'representative', 'believe', 'internal', 'reform']"
SULLIVAN: On making Housing a home — for student self-governance,Opinion,sullivan on making housing a home  for student selfgovernance,"['sullivan', 'making', 'housing', 'home', 'student', 'selfgovernance']"
EDITORIAL: Honor the Future campaign’s success is still conditional,Opinion,editorial honor the future campaigns success is still conditional,"['editorial', 'honor', 'future', 'campaign', 'success', 'still', 'conditional']"
EDITORIAL: May 4 was unacceptable — administration seems to disagree,Opinion,editorial may  was unacceptable  administration seems to disagree,"['editorial', 'may', 'unacceptable', 'administration', 'seems', 'disagree']"
KING: The College Republicans’ letter to the Board dishonors the University,Opinion,king the college republicans letter to the board dishonors the university,"['king', 'college', 'republican', 'letter', 'board', 'dishonor', 'university']"
A statement of no confidence in the Board of Visitors by the U.Va. Chapter of the AAUP,Opinion,a statement of no confidence in the board of visitors by the uva chapter of the aaup,"['statement', 'confidence', 'board', 'visitor', 'uva', 'chapter', 'aaup']"
A statement to the presidential search committee from the UCWVA-UVA Chapter,Opinion,a statement to the presidential search committee from the ucwvauva chapter,"['statement', 'presidential', 'search', 'committee', 'ucwvauva', 'chapter']"
"GILLIKIN and JOHNSON: U.Va., please rescind your Federal Executive Institute bid",Opinion,gillikin and johnson uva please rescind your federal executive institute bid,"['gillikin', 'johnson', 'uva', 'please', 'rescind', 'federal', 'executive', 'institute', 'bid']"
KURTZWEIL: Do not sign the Compact,Opinion,kurtzweil do not sign the compact,"['kurtzweil', 'sign', 'compact']"
PARTING SHOT: Confessions of a nepo baby,Opinion,parting shot confessions of a nepo baby,"['parting', 'shot', 'confession', 'nepo', 'baby']"
PARTING SHOT: Life lessons,Opinion,parting shot life lessons,"['parting', 'shot', 'life', 'lesson']"
PARTING SHOT: Failure does define you,Opinion,parting shot failure does define you,"['parting', 'shot', 'failure', 'define']"
LETTER FROM THE EDITOR: Three years on,Opinion,letter from the editor three years on,"['letter', 'editor', 'three', 'year']"
EDITORIAL: HRL changes have eroded staff autonomy — again,Opinion,editorial hrl changes have eroded staff autonomy  again,"['editorial', 'hrl', 'change', 'eroded', 'staff', 'autonomy']"
PARTING SHOT: You never know unless you try,Opinion,parting shot you never know unless you try,"['parting', 'shot', 'never', 'know', 'unless', 'try']"
"ACQUAVIVA: U.Va. paid nothing, yet lost everything",Opinion,acquaviva uva paid nothing yet lost everything,"['acquaviva', 'uva', 'paid', 'nothing', 'yet', 'lost', 'everything']"
PARTING SHOT: Risk and reward,Opinion,parting shot risk and reward,"['parting', 'shot', 'risk', 'reward']"
ELJAZZAR: Advising changes are a step toward student success,Opinion,eljazzar advising changes are a step toward student success,"['eljazzar', 'advising', 'change', 'step', 'toward', 'student', 'success']"
A statement by 211 concerned faculty on the presidential and provost search committees,Opinion,a statement by  concerned faculty on the presidential and provost search committees,"['statement', 'concerned', 'faculty', 'presidential', 'provost', 'search', 'committee']"
UPADHYAYA: The Great and not-so-Good sides of U.Va.’s 2030 housing plan,Opinion,upadhyaya the great and notsogood sides of uvas  housing plan,"['upadhyaya', 'great', 'notsogood', 'side', 'uvas', 'housing', 'plan']"
CARTER: Data science without sustainability is insufficient,Opinion,carter data science without sustainability is insufficient,"['carter', 'data', 'science', 'without', 'sustainability', 'insufficient']"
"DUTTENHOFER: U.Va. reaps the benefits of Charlottesville, but gives back scraps",Opinion,duttenhofer uva reaps the benefits of charlottesville but gives back scraps,"['duttenhofer', 'uva', 'reaps', 'benefit', 'charlottesville', 'give', 'back', 'scrap']"
"BRUNMAN: U.Va. administration, protect your Jewish students",Opinion,brunman uva administration protect your jewish students,"['brunman', 'uva', 'administration', 'protect', 'jewish', 'student']"
KURTZWEIL: A defense of the Batten Curve,Opinion,kurtzweil a defense of the batten curve,"['kurtzweil', 'defense', 'batten', 'curve']"
EDITORIAL: Collectives are a misinterpretation of the mission of NIL,Opinion,editorial collectives are a misinterpretation of the mission of nil,"['editorial', 'collective', 'misinterpretation', 'mission', 'nil']"
HARBATH: Compulsory attendance policies are harmful to students,Opinion,harbath compulsory attendance policies are harmful to students,"['harbath', 'compulsory', 'attendance', 'policy', 'harmful', 'student']"
SULLIVAN: Ramp up physical accessibility on Grounds,Opinion,sullivan ramp up physical accessibility on grounds,"['sullivan', 'ramp', 'physical', 'accessibility', 'ground']"
KURTZWEIL: Little sympathy for LittleJohn’s closure,Opinion,kurtzweil little sympathy for littlejohns closure,"['kurtzweil', 'little', 'sympathy', 'littlejohns', 'closure']"
CARTER: Alumni should not be running the show,Opinion,carter alumni should not be running the show,"['carter', 'alumnus', 'running', 'show']"
FREED: Infrastructure failings leave Charlottesville out in the cold,Opinion,freed infrastructure failings leave charlottesville out in the cold,"['freed', 'infrastructure', 'failing', 'leave', 'charlottesville', 'cold']"
WETMORE: U.Va. needs to double down on the World Language Requirement,Opinion,wetmore uva needs to double down on the world language requirement,"['wetmore', 'uva', 'need', 'double', 'world', 'language', 'requirement']"
MICHAELSON: U.Va. must not surrender to authoritarian pressure,Opinion,michaelson uva must not surrender to authoritarian pressure,"['michaelson', 'uva', 'must', 'surrender', 'authoritarian', 'pressure']"
PARTING SHOT: Asked and answered,Opinion,parting shot asked and answered,"['parting', 'shot', 'asked', 'answered']"
KURTZWEIL: Virginia should embrace sanctuary cities,Opinion,kurtzweil virginia should embrace sanctuary cities,"['kurtzweil', 'virginia', 'embrace', 'sanctuary', 'city']"
EDITORIAL: Shared governance is dying while our Board prospers,Opinion,editorial shared governance is dying while our board prospers,"['editorial', 'shared', 'governance', 'dying', 'board', 'prospers']"
KURTZWEIL: The truth about nuclear power in Northern Virginia,Opinion,kurtzweil the truth about nuclear power in northern virginia,"['kurtzweil', 'truth', 'nuclear', 'power', 'northern', 'virginia']"
KING: Virginia must step up for civic education,Opinion,king virginia must step up for civic education,"['king', 'virginia', 'must', 'step', 'civic', 'education']"
KURTZWEIL: U.Va. needs to fix its price discrimination,Opinion,kurtzweil uva needs to fix its price discrimination,"['kurtzweil', 'uva', 'need', 'fix', 'price', 'discrimination']"
BRUNMAN: Raise the bar for Charlottesville’s Republican Congressional candidates,Opinion,brunman raise the bar for charlottesvilles republican congressional candidates,"['brunman', 'raise', 'bar', 'charlottesvilles', 'republican', 'congressional', 'candidate']"
SEGARNICK: Radical transparency is U.Va.’s way forward,Opinion,segarnick radical transparency is uvas way forward,"['segarnick', 'radical', 'transparency', 'uvas', 'way', 'forward']"
A statement on the U.Va. presidential leadership transition by Ubunye,Opinion,a statement on the uva presidential leadership transition by ubunye,"['statement', 'uva', 'presidential', 'leadership', 'transition', 'ubunye']"
SULLIVAN: Student election mishaps undermine the reputation of student self-governance,Opinion,sullivan student election mishaps undermine the reputation of student selfgovernance,"['sullivan', 'student', 'election', 'mishap', 'undermine', 'reputation', 'student', 'selfgovernance']"
EDITORIAL: Grassroots student efforts have brought new energy to Grounds,Opinion,editorial grassroots student efforts have brought new energy to grounds,"['editorial', 'grassroots', 'student', 'effort', 'brought', 'new', 'energy', 'ground']"
UPADHYAYA: Inclusive access must stay inclusive,Opinion,upadhyaya inclusive access must stay inclusive,"['upadhyaya', 'inclusive', 'access', 'must', 'stay', 'inclusive']"
SCANLON: U.Va. must implement a mandatory first-year personal finance course,Opinion,scanlon uva must implement a mandatory firstyear personal finance course,"['scanlon', 'uva', 'must', 'implement', 'mandatory', 'firstyear', 'personal', 'finance', 'course']"
